ISIN,date,face_value,security_group,industry,instrument,market_lot,name_of_company,paid_up_value,security_code,security_id,security_name,series,symbol,nse,bse,trading_location
INE871D07NE2,0,1000,F ,Other Financial Services,Debentures and Bonds,0,0,0,949897,995ILFS2021,Infrastructure Leasing & Financial Services Ltd,0,0,0,1,India
INE871D07NF9,0,1000,F ,Other Financial Services,Debentures and Bonds,0,0,0,949898,990ILFS2024,Infrastructure Leasing & Financial Services Ltd,0,0,0,1,India
INE691I08271,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949899,973LTINF24A,L&T Infrastructure Finance Company Ltd,0,0,0,1,India
INE871D07NH5,0,1000,F ,Other Financial Services,Debentures and Bonds,0,0,0,949923,990ILFS24,Infrastructure Leasing & Financial Services Ltd,0,0,0,1,India
INE871D07NG7,0,1000,F ,Other Financial Services,Debentures and Bonds,0,0,0,949924,990ILFS21,Infrastructure Leasing & Financial Services Ltd,0,0,0,1,India
INE691I08289,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949926,973LTINF24B,L&T Infrastructure Finance Company Ltd,0,0,0,1,India
INE160A08019,0,1000000,F ,Banks,Debentures and Bonds,0,0,0,949943,965PNB2024,Punjab National Bank,0,0,0,1,India
INE691I08305,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949962,973LTINF24C,L&T Infrastructure Finance Company Ltd,0,0,0,1,India
INE146O08019,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949963,12HLFL2021,Hinduja Leyland Finance Ltd,0,0,0,1,India
INE509P07058,0,1000,F ,Realty,Debentures and Bonds,0,0,0,949975,8ALRPL21A,Ashiana Landcraft Realty Pvt Ltd,0,0,0,1,India
INE509P07066,0,261,F ,Realty,Debentures and Bonds,0,0,0,949976,8ALRPL21B,Ashiana Landcraft Realty Pvt Ltd,0,0,0,1,India
INE129L07013,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,949983,109OBIL21A,O B Infrastructure Ltd,0,0,0,1,India
INE129L07039,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,949985,115OBIL22C,O B Infrastructure Ltd,0,0,0,1,India
INE756I08066,0,1000000,F ,Financial Institutions,Debentures and Bonds,0,0,0,949991,1019HDB2024,HDB FINANCIAL SERVICES Ltd,0,0,0,1,India
INE059B07062,0,1000000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,949999,1125SIL2021,Simplex Infrastructures Ltd,0,0,0,1,India
INE638F08021,0,1000000,F ,Investment Companies,Debentures and Bonds,0,0,0,950015,985TIIC2024,Tamilnadu Industrial Investment Corporation Ltd,0,0,0,1,India
INE059B07070,0,1000000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950018,1125SIMPLEX,Simplex Infrastructures Ltd,0,0,0,1,India
INE691I08297,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,950020,973LTINF24D,L&T Infrastructure Finance Company Ltd,0,0,0,1,India
INE733E07JN1,0,1000000,F ,Electric Utilities,Debentures and Bonds,0,0,0,950030,934NTPC2024,NTPC Ltd,0,0,0,1,India
INE704P07030,0,1000000,F ,Commercial Vehicles,Debentures and Bonds,0,0,0,950062,872CSL2029,Cochin Shipyard Ltd,0,0,0,1,India
INE721A07HE7,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,950065,106STFC24A,Shriram Transport Finance Co Ltd,0,0,0,1,India
INE721A07HF4,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,950066,106STFC24B,Shriram Transport Finance Co Ltd,0,0,0,1,India
INE721A07HG2,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,950067,105STFC21C,Shriram Transport Finance Co Ltd,0,0,0,1,India
INE160A08027,0,1000000,F ,Banks,Debentures and Bonds,0,0,0,950086,968PNB2024A,Punjab National Bank,0,0,0,1,India
INE160A08035,0,1000000,F ,Banks,Debentures and Bonds,0,0,0,950087,968PNB2024B,Punjab National Bank,0,0,0,1,India
INE059B07088,0,1000000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950091,1125SIL21A,Simplex Infrastructures Ltd,0,0,0,1,India
INE146O08027,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,950104,12HLFL2021A,Hinduja Leyland Finance Ltd,0,0,0,1,India
INE217K07240,0,1000000,F ,Housing Finance ,Debentures and Bonds,0,0,0,950105,990RHFL2024,Reliance Home Finance Ltd,0,0,0,1,India
INE511C08902,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,950106,11MFL2021,Magma Fincorp  Ltd,0,0,0,1,India
INE509P08031,0,500,F ,Realty,Debentures and Bonds,0,0,0,950108,8ALRPL23A,Ashiana Landcraft Realty Pvt Ltd,0,0,0,1,India
INE509P08049,0,500,F ,Realty,Debentures and Bonds,0,0,0,950109,8ALRPL23B,Ashiana Landcraft Realty Pvt Ltd,0,0,0,1,India
INE310L07662,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950177,9843IOT20H,IOT Utkal Energy Services Ltd,0,0,0,1,India
INE310L07670,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950178,9843IOT20I,IOT Utkal Energy Services Ltd,0,0,0,1,India
INE310L07688,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950180,9843IOT20J,IOT Utkal Energy Services Ltd,0,0,0,1,India
INE310L07696,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950182,9843IOT20K,IOT Utkal Energy Services Ltd,0,0,0,1,India
INE310L07704,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950184,9843IOT20L,IOT Utkal Energy Services Ltd,0,0,0,1,India
INE310L07712,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950186,9843IOT21A,IOT Utkal Energy Services Ltd,0,0,0,1,India
INE310L07720,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950187,9843IOT21B,IOT Utkal Energy Services Ltd,0,0,0,1,India
INE310L07738,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950189,9843IOT21C,IOT Utkal Energy Services Ltd,0,0,0,1,India
INE310L07746,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950191,1008IOT22A,IOT Utkal Energy Services Ltd,0,0,0,1,India
INE310L07753,0,100000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,950192,1008IOT22B,IOT Utkal Energy Services Ltd,0,0,0,1,India
